Day,Call/Put,OptionPrice,Delta,Gamma,Vega,Theta,Rho
1,CALL,647.291,0.481067,9.82985e-005,3627.27,-4198,1143.34
1,PUT,816.347,-0.518882,9.82985e-005,3627.31,-4081.51,-1402.64
2,CALL,613.974,0.476453,9.87002e-005,3539.66,-4230.05,1076.46
2,PUT,821.329,-0.523498,9.87002e-005,3539.69,-4118.35,-1370.24
3,CALL,700.835,0.500907,9.92204e-005,3496.08,-4324.77,1141.61
3,PUT,697.777,-0.499045,9.92204e-005,3496.12,-4217.1,-1202.9
4,CALL,805.079,0.527139,9.94442e-005,3396.26,-4355.22,1208.65
4,PUT,577.755,-0.472815,9.94442e-005,3396.3,-4251.7,-1033.33
5,CALL,798.46,0.52917,9.98789e-005,3308.51,-4397.98,1166.33
5,PUT,553.713,-0.470786,9.98789e-005,3308.54,-4299.25,-975.647
6,CALL,785.436,0.529952,0.000100344,3220.68,-4443.74,1118.88
6,PUT,533.957,-0.470005,0.000100344,3220.71,-4350.04,-923.411
7,CALL,814.253,0.539304,0.000100651,3106.99,-4458.63,1105.19
7,PUT,483.498,-0.460656,0.000100651,3107.01,-4369.42,-836.283
8,CALL,706.445,0.52073,0.00010148,3058.65,-4566.02,980.428
8,PUT,532.821,-0.479231,0.00010148,3058.68,-4481.88,-863.241
9,CALL,771.763,0.537987,0.000101695,2923.97,-4556.86,995.941
9,PUT,452.293,-0.461976,0.000101695,2923.99,-4477.18,-746.078
10,CALL,740.617,0.53551,0.000102282,2833.87,-4615.11,934.55
10,PUT,442.088,-0.464455,0.000102282,2833.89,-4540.46,-708.033
11,CALL,844.403,0.55911,0.000102158,2631.98,-4493.77,964.762
11,PUT,347.063,-0.440857,0.000102158,2631.99,-4423.37,-575.511
12,CALL,702.594,0.535807,0.000103395,2626.4,-4703.12,831.35
12,PUT,401.609,-0.464161,0.000103395,2626.41,-4637.8,-611.649
13,CALL,636.672,0.52669,0.000104176,2544.66,-4794.88,748.291
13,PUT,412.381,-0.473279,0.000104176,2544.68,-4734.51,-595.932
14,CALL,843.958,0.569672,0.000103422,2222.85,-4424.97,830.332
14,PUT,258.311,-0.430299,0.000103422,2222.86,-4368.63,-409.52
15,CALL,679.592,0.543926,0.000105013,2247.71,-4735.82,697.988
15,PUT,310.454,-0.456047,0.000105013,2247.72,-4684.64,-444.845
16,CALL,808.66,0.57093,0.00010457,1948.58,-4360.76,718.943
16,PUT,212.66,-0.429044,0.00010457,1948.58,-4313.76,-321.197
17,CALL,750.536,0.56497,0.000105507,1847.71,-4410.06,645.905
17,PUT,204.661,-0.435006,0.000105507,1847.72,-4367.8,-295.181
18,CALL,801.973,0.577266,0.000105513,1591.3,-4062.82,616.964
18,PUT,152.831,-0.422712,0.000105513,1591.3,-4025.16,-223.058
19,CALL,681.454,0.561761,0.000107083,1549.45,-4264.48,523.02
19,PUT,162.573,-0.438219,0.000107083,1549.45,-4231.6,-218.722
20,CALL,631.598,0.5581,0.000108061,1394.69,-4157.29,457.306
20,PUT,143.481,-0.441882,0.000108061,1394.7,-4129.03,-185.115
21,CALL,323.826,0.506906,0.00011069,1464.75,-4808.61,285.466
21,PUT,265.748,-0.493077,0.00011069,1464.76,-4785.21,-262.655
22,CALL,329.245,0.466658,9.97929e-005,1234.76,-4469.78,258.23
22,PUT,189.264,-0.433329,9.97929e-005,1234.76,-4450.82,-189.082
23,CALL,346.027,0.42689,8.86308e-005,980.093,-3935.51,233.231
23,PUT,120.115,-0.373101,8.86308e-005,980.096,-3920.53,-123.297
24,CALL,160.486,0.346012,7.83093e-005,881.063,-4050.3,128.797
24,PUT,193.964,-0.353983,7.83093e-005,881.066,-4038.96,-150.579
25,CALL,92.3024,0.28638,6.71907e-005,675.073,-3554.5,77.0378
25,PUT,206.695,-0.313617,6.71907e-005,675.076,-3546.2,-133.235
26,CALL,289.195,0.281314,5.50544e-005,357.627,-2006.58,121.358
26,PUT,26.1486,-0.218684,5.50544e-005,357.628,-2000.73,-26.4041
27,CALL,304.72,0.235447,4.32017e-005,145.928,-875.716,90.2557
27,PUT,6.95964,-0.164552,4.32017e-005,145.929,-871.976,-7.59045
28,CALL,214.19,0.174999,3.26192e-005,91.8271,-9400.19,54.4612
28,PUT,4.19766,-0.125001,3.26192e-005,91.8278,-649.467,-4.09245
29,CALL,186.892,0.122203,2.11553e-005,14.561,-7958.21,28.6484
29,PUT,0.387075,-0.077797,2.11553e-005,14.5613,-186.7,-0.396296
30,CALL,244.448,0.079101,8.44036e-006,0.000317891,-10185.6,9.43502
30,PUT,0,-0.020899,8.44036e-006,0,-0.0922416,0
31,CALL,259.328,0,0,0,-0,0
31,PUT,0,0,0,0,-0,0
