Day,Call/Put,OptionPrice,Delta,Gamma,Vega,Theta,Rho
1,CALL,647.291,0.483157,8.67957e-005,3627.18,-4201.48,1143.32
1,PUT,816.347,-0.516792,8.67957e-005,3627.22,-4084.99,-1402.63
2,CALL,613.974,0.479211,8.70909e-005,3539.53,-4233.77,1076.49
2,PUT,821.329,-0.52074,8.70909e-005,3539.56,-4122.06,-1370.24
3,CALL,700.835,0.500486,8.74731e-005,3496.08,-4328.97,1141.58
3,PUT,697.777,-0.499466,8.74732e-005,3496.12,-4221.3,-1202.87
4,CALL,805.079,0.523235,8.76376e-005,3396.1,-4359.62,1208.45
4,PUT,577.755,-0.476719,8.76376e-005,3396.14,-4256.1,-1033.37
5,CALL,798.46,0.524995,8.7957e-005,3308.32,-4402.73,1166.47
5,PUT,553.713,-0.474961,8.7957e-005,3308.35,-4304,-975.56
6,CALL,785.436,0.525671,8.82985e-005,3220.48,-4448.9,1118.73
6,PUT,533.957,-0.474287,8.82985e-005,3220.5,-4355.19,-923.462
7,CALL,814.253,0.533737,8.85241e-005,3106.62,-4464.02,1105.13
7,PUT,483.498,-0.466223,8.85241e-005,3106.65,-4374.81,-836.269
8,CALL,706.445,0.517725,8.91332e-005,3058.55,-4572.42,980.312
8,PUT,532.821,-0.482236,8.91332e-005,3058.57,-4488.28,-863.255
9,CALL,771.763,0.532584,8.92917e-005,2923.62,-4563.38,995.919
9,PUT,452.293,-0.467379,8.92917e-005,2923.64,-4483.71,-746.111
10,CALL,740.617,0.530448,8.97225e-005,2833.55,-4622.37,934.492
10,PUT,442.088,-0.469517,8.97225e-005,2833.57,-4547.72,-708.051
11,CALL,844.403,0.550724,8.96314e-005,2631.14,-4500.17,964.791
11,PUT,347.063,-0.449242,8.96314e-005,2631.16,-4429.78,-575.496
12,CALL,702.594,0.530697,9.05402e-005,2626.05,-4712.01,831.43
12,PUT,401.609,-0.469271,9.05402e-005,2626.07,-4646.69,-611.703
13,CALL,636.672,0.522873,9.11146e-005,2544.46,-4805.42,748.291
13,PUT,412.381,-0.477097,9.11146e-005,2544.47,-4745.04,-595.921
14,CALL,843.958,0.559743,9.05607e-005,2221.63,-4431.45,830.383
14,PUT,258.311,-0.440228,9.05607e-005,2221.64,-4375.11,-409.524
15,CALL,679.592,0.537653,9.17294e-005,2247.13,-4747.01,697.981
15,PUT,310.454,-0.46232,9.17294e-005,2247.14,-4695.83,-444.859
16,CALL,808.66,0.560803,9.14039e-005,1947.23,-4367.14,719.081
16,PUT,212.66,-0.439171,9.14039e-005,1947.24,-4320.14,-321.187
17,CALL,750.536,0.55569,9.20926e-005,1846.5,-4417.87,645.883
17,PUT,204.661,-0.444287,9.20926e-005,1846.51,-4375.61,-295.138
18,CALL,801.973,0.566228,9.20968e-005,1589.77,-4065.68,617.022
18,PUT,152.831,-0.43375,9.20968e-005,1589.78,-4028.02,-223.051
19,CALL,681.454,0.552937,9.32505e-005,1548.29,-4272.14,523.071
19,PUT,162.573,-0.447043,9.32505e-005,1548.3,-4239.26,-218.702
20,CALL,631.598,0.549799,9.39685e-005,1393.58,-4164.83,457.328
20,PUT,143.481,-0.450183,9.39685e-005,1393.59,-4136.57,-185.089
21,CALL,323.826,0.505918,9.59003e-005,1464.73,-4845.35,285.427
21,PUT,265.748,-0.494065,9.59002e-005,1464.73,-4821.95,-262.647
22,CALL,329.245,0.464278,8.64366e-005,1234.6,-4508.18,258.266
22,PUT,189.264,-0.43571,8.64366e-005,1234.6,-4489.22,-189.035
23,CALL,346.027,0.423048,7.67782e-005,979.665,-3964.15,233.263
23,PUT,120.115,-0.376944,7.67782e-005,979.669,-3949.17,-123.291
24,CALL,160.486,0.346581,6.77374e-005,881.048,-4118.83,128.762
24,PUT,193.964,-0.353413,6.77374e-005,881.052,-4107.49,-150.615
25,CALL,92.3024,0.288326,5.81109e-005,674.894,-3616.83,77.0405
25,PUT,206.695,-0.311671,5.81109e-005,674.897,-3608.54,-133.242
26,CALL,289.195,0.276841,4.77368e-005,357.045,-1931.35,121.351
26,PUT,26.1486,-0.223158,4.77368e-005,357.047,-1925.51,-26.4059
27,CALL,304.72,0.230383,3.75709e-005,145.697,-838.826,90.2448
27,PUT,6.95964,-0.169616,3.75709e-005,145.699,-835.087,-7.59057
28,CALL,214.19,0.171428,2.83383e-005,91.6982,-8129.36,54.463
28,PUT,4.19766,-0.128572,2.83383e-005,91.6993,-628.588,-4.09194
29,CALL,186.892,0.119031,1.84581e-005,14.6773,-6854.8,28.6429
29,PUT,0.387075,-0.0809688,1.84581e-005,14.6779,-193.442,-0.396179
30,CALL,244.448,0.0749437,7.6588e-006,0,-8730.6,9.41685
30,PUT,0,-0.0250563,7.6588e-006,0,-0.179984,0
31,CALL,259.328,0,0,0,-0,0
31,PUT,0,0,0,0,-0,0
