Day,Call/Put,OptionPrice,Delta,Gamma,Vega,Theta,Rho
1,CALL,736.454,0.483926,8.4963e-005,4072.17,-4720.61,1363.31
1,PUT,903.707,-0.516075,8.4963e-005,4072.22,-4583.55,-1629.42
2,CALL,704.553,0.479973,8.52279e-005,3993.89,-4780.97,1295.17
2,PUT,910.166,-0.520027,8.52279e-005,3993.93,-4648.75,-1597.77
3,CALL,793.963,0.50102,8.55563e-005,3957.27,-4903.48,1367.06
3,PUT,789.212,-0.498981,8.55563e-005,3957.31,-4775.2,-1426.3
4,CALL,899.799,0.523561,8.56869e-005,3872.03,-4973.42,1442.09
4,PUT,670.834,-0.476439,8.56869e-005,3872.07,-4849.19,-1251.66
5,CALL,895.034,0.525285,8.59669e-005,3795.16,-5053.4,1400.84
5,PUT,648.708,-0.474715,8.59669e-005,3795.2,-4934,-1193.15
6,CALL,884.124,0.525939,8.62635e-005,3719.46,-5140.9,1353.15
6,PUT,631.132,-0.474062,8.62635e-005,3719.5,-5026.63,-1141.18
7,CALL,914.502,0.533938,8.64557e-005,3621.51,-5206.27,1343.17
7,PUT,582.291,-0.466062,8.64557e-005,3621.55,-5096.47,-1051.37
8,CALL,810.215,0.517994,8.69907e-005,3578.69,-5352.94,1212.46
8,PUT,635.201,-0.482006,8.69907e-005,3578.72,-5248.33,-1082.33
9,CALL,877.112,0.532766,8.71156e-005,3466.34,-5412.91,1233.43
9,PUT,556.31,-0.467234,8.71156e-005,3466.37,-5312.76,-961.653
10,CALL,848.971,0.530627,8.74829e-005,3390.74,-5533.83,1171
10,PUT,549.175,-0.469373,8.74829e-005,3390.77,-5438.84,-924.465
11,CALL,952.54,0.550826,8.73956e-005,3224.07,-5516.31,1210.46
11,PUT,453.985,-0.449174,8.73956e-005,3224.1,-5425.49,-785.239
12,CALL,817.231,0.53085,8.81682e-005,3219.17,-5778.92,1068.2
12,PUT,515.099,-0.46915,8.81682e-005,3219.2,-5693.33,-827.637
13,CALL,755.945,0.523028,8.86452e-005,3152.17,-5955.97,981.969
13,PUT,530.572,-0.476972,8.86452e-005,3152.19,-5875.46,-814.078
14,CALL,959.231,0.559825,8.81739e-005,2895.05,-5778.97,1082.37
14,PUT,372.551,-0.440175,8.81739e-005,2895.06,-5702.34,-613.992
15,CALL,804.97,0.537764,8.91312e-005,2918.36,-6169.08,939.07
15,PUT,434.867,-0.462236,8.91312e-005,2918.37,-6097.88,-657.501
16,CALL,931.043,0.560888,8.88674e-005,2686.85,-6035.21,972.988
16,PUT,334.13,-0.439112,8.88674e-005,2686.86,-5968.07,-523.878
17,CALL,879.527,0.555778,8.94177e-005,2615.94,-6271.46,897.522
17,PUT,332.801,-0.444222,8.94177e-005,2615.95,-6209.18,-499.464
18,CALL,930.389,0.566308,8.94331e-005,2427.37,-6232.28,876.552
18,PUT,280.456,-0.433692,8.94331e-005,2427.39,-6174.69,-420.794
19,CALL,822.94,0.553018,9.03137e-005,2410.87,-6681.29,774.929
19,PUT,303.334,-0.446982,9.03137e-005,2410.88,-6628.69,-422.668
20,CALL,782.009,0.549874,9.08451e-005,2313.91,-6959.69,707.572
20,PUT,293.227,-0.450126,9.08451e-005,2313.92,-6911.86,-390.167
21,CALL,503.562,0.505988,9.21652e-005,2365.4,-7828.35,510.995
21,PUT,444.887,-0.494012,9.21653e-005,2365.41,-7785.79,-486.886
22,CALL,523.645,0.514339,9.25992e-005,2231.98,-8168.23,487.061
22,PUT,383.126,-0.485661,9.25992e-005,2231.98,-8130.29,-411.072
23,CALL,553.046,0.524076,9.29805e-005,2071.63,-8470.48,463.562
23,PUT,317.102,-0.475924,9.29805e-005,2071.64,-8437.18,-334.843
24,CALL,352.755,0.490985,9.37749e-005,1968.88,-9203.05,320.064
24,PUT,441.1,-0.509015,9.37749e-005,1968.89,-9174.69,-378.527
25,CALL,272.35,0.479186,9.42454e-005,1781.02,-9642.11,243.138
25,PUT,476.327,-0.520814,9.42454e-005,1781.02,-9618.42,-355.661
26,CALL,591.356,0.543373,9.41519e-005,1481.51,-9088.1,343.105
26,PUT,166.298,-0.456627,9.41519e-005,1481.52,-9068.61,-155.934
27,CALL,611.394,0.550455,9.44572e-005,1215.09,-7994.03,294.974
27,PUT,116.935,-0.449545,9.44572e-005,1215.09,-7979.06,-104.212
28,CALL,420.824,0.528063,9.61409e-005,1190.3,-19378.2,197.165
28,PUT,145.809,-0.471937,9.61408e-005,1190.31,-9550.98,-102.19
29,CALL,325.207,0.520073,9.73167e-005,991.343,-16183.7,127.694
29,PUT,128.495,-0.479927,9.73167e-005,991.346,-9155.2,-71.8798
30,CALL,504.521,0.549635,9.65991e-005,332.349,-21073.4,89.5691
30,PUT,18.098,-0.450365,9.65991e-005,332.35,-3699.96,-10.2125
31,CALL,635.232,0.56482,9.54267e-005,0,-0,0
31,PUT,0,-0.43518,9.54265e-005,0,-0,0
