Day,Call/Put,OptionPrice,Delta,Gamma,Vega,Theta,Rho
1,CALL,736.454,0.486871,6.90341e-005,4071.98,-4730.37,1363.32
1,PUT,903.707,-0.51313,6.9034e-005,4072.03,-4593.32,-1629.3
2,CALL,704.553,0.483811,6.91943e-005,3993.6,-4791.47,1295.13
2,PUT,910.166,-0.516189,6.91943e-005,3993.64,-4659.24,-1597.87
3,CALL,793.963,0.500451,6.9393e-005,3957.27,-4915.32,1367.12
3,PUT,789.212,-0.499549,6.9393e-005,3957.31,-4787.03,-1426.26
4,CALL,899.799,0.518208,6.9472e-005,3871.68,-4986,1442.13
4,PUT,670.834,-0.481793,6.9472e-005,3871.72,-4861.77,-1251.59
5,CALL,895.034,0.519577,6.96414e-005,3794.75,-5067.1,1400.89
5,PUT,648.708,-0.480424,6.96413e-005,3794.78,-4947.71,-1193.1
6,CALL,884.124,0.5201,6.98208e-005,3719.01,-5155.96,1353.22
6,PUT,631.132,-0.479901,6.98208e-005,3719.05,-5041.68,-1141.12
7,CALL,914.502,0.526378,6.99371e-005,3620.73,-5222.32,1343.15
7,PUT,582.291,-0.473622,6.99371e-005,3620.77,-5112.52,-1051.43
8,CALL,810.215,0.513905,7.02607e-005,3578.46,-5371.8,1212.43
8,PUT,635.201,-0.486095,7.02607e-005,3578.5,-5267.2,-1082.32
9,CALL,877.112,0.525468,7.03362e-005,3465.58,-5432.77,1233.42
9,PUT,556.31,-0.474532,7.03362e-005,3465.62,-5332.62,-961.677
10,CALL,848.971,0.523799,7.05584e-005,3390.03,-5556.21,1170.86
10,PUT,549.175,-0.476201,7.05584e-005,3390.06,-5461.21,-924.479
11,CALL,952.54,0.539569,7.05057e-005,3222.25,-5537.93,1210.39
11,PUT,453.985,-0.460431,7.05056e-005,3222.28,-5447.1,-785.268
12,CALL,817.231,0.523981,7.0973e-005,3218.44,-5807.35,1068.22
12,PUT,515.099,-0.476019,7.0973e-005,3218.47,-5721.77,-827.637
13,CALL,755.945,0.517889,7.12616e-005,3151.74,-5989.71,981.988
13,PUT,530.572,-0.482111,7.12616e-005,3151.76,-5909.21,-814.107
14,CALL,959.231,0.546562,7.09764e-005,2892.44,-5806.09,1082.39
14,PUT,372.551,-0.453438,7.09764e-005,2892.45,-5729.47,-613.946
15,CALL,804.97,0.529374,7.15556e-005,2917.2,-6209.63,939.026
15,PUT,434.867,-0.470627,7.15556e-005,2917.21,-6138.42,-657.501
16,CALL,931.043,0.547374,7.1396e-005,2684.03,-6068.96,972.968
16,PUT,334.13,-0.452626,7.1396e-005,2684.05,-6001.82,-523.834
17,CALL,879.527,0.543391,7.17288e-005,2613.47,-6313.82,897.624
17,PUT,332.801,-0.456609,7.17289e-005,2613.48,-6251.54,-499.471
18,CALL,930.389,0.551582,7.17382e-005,2423.99,-6269.4,876.465
18,PUT,280.456,-0.448418,7.17382e-005,2424,-6211.8,-420.804
19,CALL,822.94,0.541239,7.22709e-005,2408.5,-6741.26,774.841
19,PUT,303.334,-0.458761,7.22709e-005,2408.52,-6688.66,-422.635
20,CALL,782.009,0.538792,7.25924e-005,2311.68,-7035.33,707.499
20,PUT,293.227,-0.461208,7.25924e-005,2311.69,-6987.5,-390.184
21,CALL,503.562,0.504657,7.3391e-005,2365.37,-7991.58,511
21,PUT,444.887,-0.495343,7.3391e-005,2365.38,-7949.02,-486.925
22,CALL,523.645,0.511152,7.36535e-005,2231.75,-8379.82,487.027
22,PUT,383.126,-0.488848,7.36535e-005,2231.75,-8341.88,-411.055
23,CALL,553.046,0.518726,7.38842e-005,2070.94,-8735.41,463.528
23,PUT,317.102,-0.481274,7.38842e-005,2070.95,-8702.11,-334.829
24,CALL,352.755,0.492989,7.43647e-005,1968.77,-9687.07,320.079
24,PUT,441.1,-0.507011,7.43647e-005,1968.78,-9658.7,-378.486
25,CALL,272.35,0.483811,7.46493e-005,1780.43,-10339.4,243.106
25,PUT,476.327,-0.516189,7.46493e-005,1780.43,-10315.7,-355.682
26,CALL,591.356,0.533735,7.45928e-005,1479.24,-20163.9,343.051
26,PUT,166.298,-0.466265,7.45928e-005,1479.25,-8346.96,-155.928
27,CALL,611.394,0.539243,7.47775e-005,1212.16,-20682.6,295.037
27,PUT,116.935,-0.460757,7.47775e-005,1212.16,-6940.1,-104.209
28,CALL,420.824,0.521827,7.5796e-005,1188.97,-15866.4,197.211
28,PUT,145.809,-0.478173,7.5796e-005,1188.98,-8221.85,-102.192
29,CALL,325.207,0.515612,7.65073e-005,990.477,-13387.9,127.699
29,PUT,128.495,-0.484388,7.65073e-005,990.48,-7920.64,-71.8859
30,CALL,504.521,0.538605,7.60732e-005,330.816,-17005.3,89.586
30,PUT,18.098,-0.461395,7.60732e-005,330.816,-3492.34,-10.2128
31,CALL,635.232,0.550416,7.53639e-005,0,-0,0
31,PUT,0,-0.449584,7.53638e-005,0,-0,0
