Day,Call/Put,OptionPrice,Delta,Gamma,Vega,Theta,Rho
1,CALL,736.454,0.48546,7.62105e-005,4072.09,-4725.17,1363.37
1,PUT,903.707,-0.51454,7.62105e-005,4072.13,-4588.12,-1629.41
2,CALL,704.553,0.482008,7.64133e-005,3993.75,-4785.87,1295.17
2,PUT,910.166,-0.517993,7.64133e-005,3993.8,-4653.65,-1597.79
3,CALL,793.963,0.500634,7.66648e-005,3957.27,-4909,1367.11
3,PUT,789.212,-0.499366,7.66648e-005,3957.31,-4780.72,-1426.16
4,CALL,899.799,0.520538,7.67648e-005,3871.87,-4979.28,1442.18
4,PUT,670.834,-0.479463,7.67648e-005,3871.91,-4855.06,-1251.6
5,CALL,895.034,0.522066,7.69791e-005,3794.97,-5059.79,1400.83
5,PUT,648.708,-0.477934,7.69791e-005,3795.01,-4940.4,-1193.16
6,CALL,884.124,0.522646,7.72062e-005,3719.25,-5147.92,1353.19
6,PUT,631.132,-0.477354,7.72062e-005,3719.29,-5033.65,-1141.13
7,CALL,914.502,0.529692,7.73534e-005,3621.15,-5213.75,1343.19
7,PUT,582.291,-0.470308,7.73534e-005,3621.19,-5103.95,-1051.45
8,CALL,810.215,0.515676,7.7763e-005,3578.59,-5361.72,1212.65
8,PUT,635.201,-0.484324,7.7763e-005,3578.62,-5257.12,-1082.31
9,CALL,877.112,0.528663,7.78586e-005,3465.99,-5422.16,1233.44
9,PUT,556.31,-0.471337,7.78586e-005,3466.02,-5322,-961.685
10,CALL,848.971,0.526785,7.81398e-005,3390.41,-5544.24,1171
10,PUT,549.175,-0.473215,7.81398e-005,3390.44,-5449.24,-924.416
11,CALL,952.54,0.544512,7.8073e-005,3223.22,-5526.37,1210.44
11,PUT,453.985,-0.455488,7.8073e-005,3223.25,-5435.54,-785.217
12,CALL,817.231,0.526985,7.86645e-005,3218.83,-5792.13,1068.23
12,PUT,515.099,-0.473015,7.86645e-005,3218.86,-5706.54,-827.637
13,CALL,755.945,0.520132,7.90297e-005,3151.97,-5971.61,982.018
13,PUT,530.572,-0.479868,7.90297e-005,3151.99,-5891.11,-814.056
14,CALL,959.231,0.552379,7.86688e-005,2893.83,-5791.59,1082.38
14,PUT,372.551,-0.447621,7.86688e-005,2893.85,-5714.96,-613.956
15,CALL,804.97,0.533046,7.94018e-005,2917.82,-6187.85,939.102
15,PUT,434.867,-0.466954,7.94018e-005,2917.83,-6116.65,-657.482
16,CALL,931.043,0.553294,7.91998e-005,2685.54,-6050.91,972.977
16,PUT,334.13,-0.446706,7.91998e-005,2685.55,-5983.77,-523.815
17,CALL,879.527,0.548814,7.96211e-005,2614.79,-6291.13,897.56
17,PUT,332.801,-0.451186,7.96211e-005,2614.8,-6228.84,-499.439
18,CALL,930.389,0.558029,7.96329e-005,2425.8,-6249.6,876.465
18,PUT,280.456,-0.441971,7.96329e-005,2425.81,-6192,-420.78
19,CALL,822.94,0.546393,8.03071e-005,2409.77,-6709.02,774.765
19,PUT,303.334,-0.453607,8.03071e-005,2409.78,-6656.42,-422.649
20,CALL,782.009,0.543641,8.0714e-005,2312.87,-6994.55,707.588
20,PUT,293.227,-0.456359,8.0714e-005,2312.89,-6946.73,-390.167
21,CALL,503.562,0.505239,8.17247e-005,2365.39,-7901.79,511.055
21,PUT,444.887,-0.494761,8.17247e-005,2365.4,-7859.23,-486.889
22,CALL,523.645,0.512546,8.2057e-005,2231.87,-8262.44,487.099
22,PUT,383.126,-0.487454,8.2057e-005,2231.88,-8224.5,-411.034
23,CALL,553.046,0.521066,8.23489e-005,2071.31,-8587.25,463.524
23,PUT,317.102,-0.478934,8.23489e-005,2071.32,-8553.96,-334.835
24,CALL,352.755,0.492112,8.29571e-005,1968.83,-9406.03,320.053
24,PUT,441.1,-0.507888,8.29571e-005,1968.84,-9377.66,-378.494
25,CALL,272.35,0.481788,8.33173e-005,1780.74,-9924.7,243.092
25,PUT,476.327,-0.518212,8.33173e-005,1780.75,-9901,-355.644
26,CALL,591.356,0.537951,8.32457e-005,1480.46,-8956,343.018
26,PUT,166.298,-0.462048,8.32457e-005,1480.46,-8936.51,-155.916
27,CALL,611.394,0.544148,8.34795e-005,1213.72,-22859.5,294.952
27,PUT,116.935,-0.455852,8.34795e-005,1213.72,-7400.14,-104.218
28,CALL,420.824,0.524555,8.47686e-005,1189.68,-17410.4,197.201
28,PUT,145.809,-0.475445,8.47686e-005,1189.69,-8810.92,-102.186
29,CALL,325.207,0.517564,8.56688e-005,990.94,-14619.8,127.697
29,PUT,128.495,-0.482436,8.56688e-005,990.943,-8469.52,-71.8784
30,CALL,504.521,0.543431,8.51194e-005,331.626,-18789.6,89.5882
30,PUT,18.098,-0.456569,8.51194e-005,331.627,-3587.74,-10.2127
31,CALL,635.232,0.556718,8.42218e-005,0,-0,0
31,PUT,0,-0.443283,8.42216e-005,0,-0,0
