Day,Call/Put,OptionPrice,Delta,Gamma,Vega,Theta,Rho
1,CALL,736.454,0.492973,3.91213e-005,4072.09,-4725.17,1363.37
1,PUT,903.707,-0.507028,3.91213e-005,4072.13,-4588.12,-1629.41
2,CALL,704.553,0.491361,3.91662e-005,3993.75,-4785.87,1295.17
2,PUT,910.166,-0.508639,3.91662e-005,3993.8,-4653.65,-1597.79
3,CALL,793.963,0.5002,3.92219e-005,3957.27,-4909,1367.11
3,PUT,789.212,-0.499801,3.92219e-005,3957.31,-4780.72,-1426.16
4,CALL,899.799,0.509621,3.9244e-005,3871.87,-4979.28,1442.18
4,PUT,670.834,-0.49038,3.9244e-005,3871.91,-4855.06,-1251.6
5,CALL,895.034,0.51035,3.92915e-005,3794.97,-5059.79,1400.83
5,PUT,648.708,-0.48965,3.92915e-005,3795.01,-4940.4,-1193.16
6,CALL,884.124,0.51063,3.93418e-005,3719.25,-5147.92,1353.19
6,PUT,631.132,-0.48937,3.93418e-005,3719.29,-5033.65,-1141.13
7,CALL,914.502,0.513959,3.93744e-005,3621.15,-5213.75,1343.19
7,PUT,582.291,-0.486042,3.93744e-005,3621.19,-5103.95,-1051.45
8,CALL,810.215,0.507354,3.94651e-005,3578.59,-5361.72,1212.65
8,PUT,635.201,-0.492647,3.94651e-005,3578.62,-5257.12,-1082.31
9,CALL,877.112,0.513479,3.94862e-005,3465.99,-5422.16,1233.44
9,PUT,556.31,-0.486521,3.94862e-005,3466.02,-5322,-961.685
10,CALL,848.971,0.512597,3.95485e-005,3390.41,-5544.24,1171
10,PUT,549.175,-0.487404,3.95485e-005,3390.44,-5449.24,-924.416
11,CALL,952.54,0.520948,3.95337e-005,3223.22,-5526.37,1210.44
11,PUT,453.985,-0.479052,3.95337e-005,3223.25,-5435.54,-785.217
12,CALL,817.231,0.512695,3.96647e-005,3218.83,-5792.13,1068.23
12,PUT,515.099,-0.487305,3.96647e-005,3218.86,-5706.54,-827.637
13,CALL,755.945,0.509469,3.97456e-005,3151.97,-5971.61,982.018
13,PUT,530.572,-0.490531,3.97456e-005,3151.99,-5891.11,-814.056
14,CALL,959.231,0.52465,3.96657e-005,2893.83,-5791.59,1082.38
14,PUT,372.551,-0.47535,3.96657e-005,2893.85,-5714.96,-613.956
15,CALL,804.97,0.515551,3.9828e-005,2917.82,-6187.85,939.102
15,PUT,434.867,-0.484449,3.9828e-005,2917.83,-6116.65,-657.482
16,CALL,931.043,0.52508,3.97833e-005,2685.54,-6050.91,972.977
16,PUT,334.13,-0.47492,3.97833e-005,2685.55,-5983.77,-523.815
17,CALL,879.527,0.522972,3.98765e-005,2614.79,-6291.13,897.56
17,PUT,332.801,-0.477028,3.98765e-005,2614.8,-6228.84,-499.439
18,CALL,930.389,0.527308,3.98792e-005,2425.8,-6249.6,876.465
18,PUT,280.456,-0.472692,3.98792e-005,2425.81,-6192,-420.78
19,CALL,822.94,0.521832,4.00285e-005,2409.77,-6709.02,774.765
19,PUT,303.334,-0.478168,4.00285e-005,2409.78,-6656.42,-422.649
20,CALL,782.009,0.520537,4.01186e-005,2312.87,-6994.55,707.588
20,PUT,293.227,-0.479463,4.01186e-005,2312.89,-6946.73,-390.167
21,CALL,503.562,0.502465,4.03424e-005,2365.39,-7901.79,511.055
21,PUT,444.887,-0.497535,4.03424e-005,2365.4,-7859.23,-486.889
22,CALL,523.645,0.505904,4.0416e-005,2231.87,-8262.44,487.099
22,PUT,383.126,-0.494096,4.0416e-005,2231.88,-8224.5,-411.034
23,CALL,553.046,0.509914,4.04806e-005,2071.31,-8587.25,463.524
23,PUT,317.102,-0.490086,4.04806e-005,2071.32,-8553.96,-334.835
24,CALL,352.755,0.496288,4.06153e-005,1968.83,-9406.03,320.053
24,PUT,441.1,-0.503712,4.06153e-005,1968.84,-9377.66,-378.494
25,CALL,272.35,0.49143,4.06951e-005,1780.74,-9924.7,243.092
25,PUT,476.327,-0.50857,4.06951e-005,1780.75,-9901,-355.644
26,CALL,591.356,0.51786,4.06792e-005,1480.46,-8956,343.018
26,PUT,166.298,-0.48214,4.06792e-005,1480.46,-8936.51,-155.916
27,CALL,611.394,0.520776,4.0731e-005,1213.72,-22859.5,294.952
27,PUT,116.935,-0.479224,4.0731e-005,1213.72,-7400.14,-104.218
28,CALL,420.824,0.511555,4.10165e-005,1189.68,-17410.4,197.201
28,PUT,145.809,-0.488445,4.10165e-005,1189.69,-8810.92,-102.186
29,CALL,325.207,0.508265,4.12158e-005,990.94,-14619.8,127.697
29,PUT,128.495,-0.491735,4.12158e-005,990.943,-8469.52,-71.8784
30,CALL,504.521,0.520438,4.10942e-005,331.626,-18789.6,89.5882
30,PUT,18.098,-0.479562,4.10942e-005,331.627,-3587.74,-10.2127
31,CALL,635.232,0.526691,4.08954e-005,0,-0,0
31,PUT,0,-0.473309,4.08953e-005,0,-0,0
