Day,Call/Put,OptionPrice,Delta,Gamma,Vega,Theta,Rho
1,CALL,736.454,0.491467,4.6751e-005,4072.31,-4713.39,1363.34
1,PUT,903.707,-0.508533,4.6751e-005,4072.35,-4576.33,-1629.46
2,CALL,704.553,0.48951,4.68172e-005,3994.11,-4773.21,1295.17
2,PUT,910.166,-0.510491,4.68172e-005,3994.15,-4640.99,-1597.78
3,CALL,793.963,0.500243,4.68993e-005,3957.28,-4894.73,1367.13
3,PUT,789.212,-0.499758,4.68993e-005,3957.32,-4766.45,-1426.27
4,CALL,899.799,0.511682,4.69319e-005,3872.29,-4964.13,1442.08
4,PUT,670.834,-0.488318,4.69319e-005,3872.34,-4839.9,-1251.53
5,CALL,895.034,0.512568,4.70019e-005,3795.48,-5043.29,1400.88
5,PUT,648.708,-0.487433,4.70019e-005,3795.52,-4923.9,-1193.05
6,CALL,884.124,0.512908,4.70761e-005,3719.79,-5129.81,1353.09
6,PUT,631.132,-0.487092,4.70761e-005,3719.83,-5015.54,-1141.17
7,CALL,914.502,0.51695,4.71241e-005,3622.09,-5194.46,1343.08
7,PUT,582.291,-0.483051,4.71241e-005,3622.13,-5084.67,-1051.45
8,CALL,810.215,0.508929,4.72579e-005,3578.86,-5339.1,1212.52
8,PUT,635.201,-0.491071,4.72579e-005,3578.89,-5234.49,-1082.34
9,CALL,877.112,0.516368,4.72891e-005,3466.89,-5398.35,1233.34
9,PUT,556.31,-0.483633,4.72891e-005,3466.93,-5298.19,-961.609
10,CALL,848.971,0.515296,4.73809e-005,3391.28,-5517.47,1170.84
10,PUT,549.175,-0.484704,4.73809e-005,3391.31,-5422.47,-924.438
11,CALL,952.54,0.525437,4.73591e-005,3225.41,-5500.46,1210.33
11,PUT,453.985,-0.474564,4.73591e-005,3225.44,-5409.64,-785.248
12,CALL,817.231,0.515415,4.75522e-005,3219.71,-5758.21,1068.24
12,PUT,515.099,-0.484585,4.75522e-005,3219.73,-5672.62,-827.637
13,CALL,755.945,0.511499,4.76715e-005,3152.48,-5931.52,981.934
13,PUT,530.572,-0.488501,4.76715e-005,3152.5,-5851.01,-814.148
14,CALL,959.231,0.529933,4.75537e-005,2896.96,-5759.12,1082.52
14,PUT,372.551,-0.470067,4.75537e-005,2896.97,-5682.5,-613.953
15,CALL,804.97,0.518883,4.7793e-005,2919.21,-6139.85,939.026
15,PUT,434.867,-0.481117,4.7793e-005,2919.23,-6068.65,-657.501
16,CALL,931.043,0.530455,4.77271e-005,2688.86,-6010.5,973.206
16,PUT,334.13,-0.469545,4.77271e-005,2688.87,-5943.36,-523.804
17,CALL,879.527,0.527894,4.78646e-005,2617.74,-6240.74,897.522
17,PUT,332.801,-0.472106,4.78646e-005,2617.75,-6178.46,-499.481
18,CALL,930.389,0.53316,4.78685e-005,2429.86,-6204.9,876.465
18,PUT,280.456,-0.46684,4.78685e-005,2429.87,-6147.3,-420.776
19,CALL,822.94,0.526511,4.80886e-005,2412.61,-6638.19,774.841
19,PUT,303.334,-0.47349,4.80886e-005,2412.63,-6585.6,-422.638
20,CALL,782.009,0.524938,4.82215e-005,2315.56,-6905.89,707.519
20,PUT,293.227,-0.475062,4.82215e-005,2315.57,-6858.06,-390.137
21,CALL,503.562,0.502994,4.85515e-005,2365.44,-7720.33,511.017
21,PUT,444.887,-0.497006,4.85515e-005,2365.44,-7677.77,-486.877
22,CALL,523.645,0.507169,4.866e-005,2232.14,-8032.26,487.061
22,PUT,383.126,-0.492831,4.866e-005,2232.15,-7994.32,-410.98
23,CALL,553.046,0.512038,4.87553e-005,2072.14,-8304.93,463.379
23,PUT,317.102,-0.487962,4.87553e-005,2072.15,-8271.63,-334.839
24,CALL,352.755,0.495493,4.89539e-005,1968.96,-8935.43,320.068
24,PUT,441.1,-0.504507,4.89539e-005,1968.96,-8907.06,-378.479
25,CALL,272.35,0.489593,4.90715e-005,1781.45,-9288.8,243.072
25,PUT,476.327,-0.510407,4.90715e-005,1781.46,-9265.1,-355.713
26,CALL,591.356,0.521687,4.90482e-005,1483.19,-8952.96,343.079
26,PUT,166.298,-0.478313,4.90482e-005,1483.2,-8933.47,-155.93
27,CALL,611.394,0.525227,4.91245e-005,1217.27,-8650.89,294.983
27,PUT,116.935,-0.474772,4.91245e-005,1217.27,-8635.91,-104.21
28,CALL,420.824,0.514031,4.95454e-005,1191.27,-11257.9,197.235
28,PUT,145.809,-0.485969,4.95454e-005,1191.27,-11247.5,-102.219
29,CALL,325.207,0.510036,4.98394e-005,991.978,-21088.6,127.686
29,PUT,128.495,-0.489964,4.98394e-005,991.982,-11249.9,-71.8994
30,CALL,504.521,0.524817,4.966e-005,333.52,-28335.2,89.5386
30,PUT,18.098,-0.475183,4.966e-005,333.52,-4012.88,-10.2119
31,CALL,635.232,0.53241,4.93669e-005,0,-0,0
31,PUT,0,-0.46759,4.93668e-005,0,-0,0
