Day,Call/Put,OptionPrice,Delta,Gamma,Vega,Theta,Rho
1,CALL,736.454,0.492534,4.13741e-005,4072.17,-4720.61,1363.31
1,PUT,903.707,-0.507467,4.13741e-005,4072.22,-4583.55,-1629.42
2,CALL,704.553,0.490821,4.14248e-005,3993.89,-4780.97,1295.17
2,PUT,910.166,-0.509179,4.14248e-005,3993.93,-4648.75,-1597.77
3,CALL,793.963,0.500212,4.14876e-005,3957.27,-4903.48,1367.06
3,PUT,789.212,-0.499788,4.14876e-005,3957.31,-4775.2,-1426.3
4,CALL,899.799,0.510222,4.15126e-005,3872.03,-4973.42,1442.09
4,PUT,670.834,-0.489779,4.15126e-005,3872.07,-4849.19,-1251.66
5,CALL,895.034,0.510997,4.15662e-005,3795.16,-5053.4,1400.84
5,PUT,648.708,-0.489004,4.15662e-005,3795.2,-4934,-1193.15
6,CALL,884.124,0.511294,4.1623e-005,3719.46,-5140.9,1353.15
6,PUT,631.132,-0.488706,4.1623e-005,3719.5,-5026.63,-1141.18
7,CALL,914.502,0.514831,4.16598e-005,3621.51,-5206.27,1343.17
7,PUT,582.291,-0.485169,4.16598e-005,3621.55,-5096.47,-1051.37
8,CALL,810.215,0.507813,4.17622e-005,3578.69,-5352.94,1212.46
8,PUT,635.201,-0.492187,4.17622e-005,3578.72,-5248.33,-1082.33
9,CALL,877.112,0.514322,4.17861e-005,3466.34,-5412.91,1233.43
9,PUT,556.31,-0.485679,4.17861e-005,3466.37,-5312.76,-961.653
10,CALL,848.971,0.513384,4.18564e-005,3390.74,-5533.83,1171
10,PUT,549.175,-0.486616,4.18564e-005,3390.77,-5438.84,-924.465
11,CALL,952.54,0.522257,4.18397e-005,3224.07,-5516.31,1210.46
11,PUT,453.985,-0.477743,4.18397e-005,3224.1,-5425.49,-785.239
12,CALL,817.231,0.513488,4.19875e-005,3219.17,-5778.92,1068.2
12,PUT,515.099,-0.486512,4.19875e-005,3219.2,-5693.33,-827.637
13,CALL,755.945,0.510061,4.20789e-005,3152.17,-5955.97,981.969
13,PUT,530.572,-0.489939,4.20789e-005,3152.19,-5875.46,-814.078
14,CALL,959.231,0.526191,4.19886e-005,2895.05,-5778.97,1082.37
14,PUT,372.551,-0.473809,4.19886e-005,2895.06,-5702.34,-613.992
15,CALL,804.97,0.516522,4.21719e-005,2918.36,-6169.08,939.07
15,PUT,434.867,-0.483478,4.21719e-005,2918.37,-6097.88,-657.501
16,CALL,931.043,0.526648,4.21214e-005,2686.85,-6035.21,972.988
16,PUT,334.13,-0.473352,4.21214e-005,2686.86,-5968.07,-523.878
17,CALL,879.527,0.524407,4.22267e-005,2615.94,-6271.46,897.522
17,PUT,332.801,-0.475593,4.22267e-005,2615.95,-6209.18,-499.464
18,CALL,930.389,0.529015,4.22297e-005,2427.37,-6232.28,876.552
18,PUT,280.456,-0.470985,4.22297e-005,2427.39,-6174.69,-420.794
19,CALL,822.94,0.523197,4.23982e-005,2410.87,-6681.29,774.929
19,PUT,303.334,-0.476803,4.23982e-005,2410.88,-6628.69,-422.668
20,CALL,782.009,0.521821,4.24999e-005,2313.91,-6959.69,707.572
20,PUT,293.227,-0.478179,4.24999e-005,2313.92,-6911.86,-390.167
21,CALL,503.562,0.502619,4.27526e-005,2365.4,-7828.35,510.995
21,PUT,444.887,-0.497381,4.27526e-005,2365.41,-7785.79,-486.886
22,CALL,523.645,0.506273,4.28357e-005,2231.98,-8168.23,487.061
22,PUT,383.126,-0.493727,4.28357e-005,2231.98,-8130.29,-411.072
23,CALL,553.046,0.510533,4.29087e-005,2071.63,-8470.48,463.562
23,PUT,317.102,-0.489467,4.29087e-005,2071.64,-8437.18,-334.843
24,CALL,352.755,0.496056,4.30607e-005,1968.88,-9203.05,320.064
24,PUT,441.1,-0.503944,4.30607e-005,1968.89,-9174.69,-378.527
25,CALL,272.35,0.490894,4.31508e-005,1781.02,-9642.11,243.138
25,PUT,476.327,-0.509106,4.31508e-005,1781.02,-9618.42,-355.661
26,CALL,591.356,0.518976,4.31329e-005,1481.51,-9088.1,343.105
26,PUT,166.298,-0.481024,4.31329e-005,1481.52,-9068.61,-155.934
27,CALL,611.394,0.522074,4.31913e-005,1215.09,-7994.03,294.974
27,PUT,116.935,-0.477926,4.31913e-005,1215.09,-7979.06,-104.212
28,CALL,420.824,0.512277,4.35136e-005,1190.3,-19378.2,197.165
28,PUT,145.809,-0.487723,4.35136e-005,1190.31,-9550.98,-102.19
29,CALL,325.207,0.508782,4.37386e-005,991.343,-16183.7,127.694
29,PUT,128.495,-0.491218,4.37386e-005,991.346,-9155.2,-71.8798
30,CALL,504.521,0.521715,4.36013e-005,332.349,-21073.4,89.5691
30,PUT,18.098,-0.478285,4.36013e-005,332.35,-3699.96,-10.2125
31,CALL,635.232,0.528359,4.33769e-005,0,-0,0
31,PUT,0,-0.471641,4.33768e-005,0,-0,0
