Day,Call/Put,OptionPrice,Delta,Gamma,Vega,Theta,Rho
1,CALL,799.4,0.505003,0.000194179,4078.01,-5491.27,1432.41
1,PUT,832.431,-0.495084,0.000195138,4078.52,-3830.33,-1543.85
2,CALL,764.748,0.497163,0.000198564,4005.39,-5549.29,1363.95
2,PUT,839.801,-0.502946,0.00019946,4005.98,-3886.29,-1520.28
3,CALL,857.332,0.537529,0.000198265,3941.72,-5705.21,1432.68
3,PUT,726.603,-0.462129,0.000198402,3942.25,-4039.58,-1351.99
4,CALL,966.557,0.58275,0.000204343,3828.99,-5814.72,1503.6
4,PUT,615.624,-0.417235,0.000200158,3828.94,-4140.44,-1177.92
5,CALL,960.413,0.58685,0.000199485,3750.48,-5902.34,1459.32
5,PUT,595.744,-0.412921,0.000197492,3750.14,-4222,-1126.56
6,CALL,947.591,0.588201,0.000202637,3675.15,-5994.3,1408.85
6,PUT,580.021,-0.411712,0.000205975,3675.29,-4310.79,-1077.48
7,CALL,977.722,0.605135,0.000206062,3570.81,-6080.46,1391.58
7,PUT,534.984,-0.395064,0.000208996,3571.17,-4390.16,-991.864
8,CALL,867.738,0.572999,0.000218855,3546.21,-6196.52,1262.33
8,PUT,586.298,-0.42703,0.000212589,3546.46,-4514.65,-1024.98
9,CALL,935.552,0.604525,0.000210447,3420.11,-6282.91,1278.37
9,PUT,512.828,-0.395513,0.000213897,3420.04,-4602.03,-910.562
10,CALL,904.646,0.601132,0.000221446,3346.28,-6398.86,1212.84
10,PUT,507.079,-0.398803,0.000220175,3346.7,-4719.45,-875.085
11,CALL,1010.05,0.646273,0.000221695,3162.21,-6425.56,1249.9
11,PUT,418.189,-0.353445,0.000218238,3162.56,-4741.69,-739.624
12,CALL,868.483,0.60368,0.000234487,3179.14,-6648.06,1104.56
12,PUT,477.244,-0.396401,0.000234356,3179.09,-4972.16,-784.982
13,CALL,803.101,0.586495,0.00024348,3120.79,-6801.38,1017.89
13,PUT,493.29,-0.413532,0.00024188,3120.41,-5138.53,-773.755
14,CALL,1010.92,0.674335,0.000219652,2834.11,-6711.37,1110.24
14,PUT,344.459,-0.326087,0.000228782,2834.2,-5041.69,-579.993
15,CALL,849.393,0.62417,0.000247242,2878.14,-7029.07,966.858
15,PUT,405.072,-0.375746,0.000250419,2878.04,-5397.36,-626.273
16,CALL,976.614,0.682774,0.000243979,2631.08,-6947.99,993.469
16,PUT,310.435,-0.316902,0.000242627,2631.67,-5324.46,-496.921
17,CALL,921.872,0.674898,0.000256074,2566.71,-7171.11,919.281
17,PUT,310.09,-0.325048,0.000251216,2566.18,-5551.57,-474.75
18,CALL,971.862,0.706142,0.000247803,2372.48,-7162.87,896.692
18,PUT,261.299,-0.293643,0.000248535,2372.19,-5544.93,-398.792
19,CALL,859.635,0.677407,0.000269177,2366.03,-7563.42,792.31
19,PUT,283.837,-0.322517,0.000273562,2365.71,-5959.88,-402.005
20,CALL,815.553,0.67394,0.000281783,2273.66,-7821.64,724.567
20,PUT,275.278,-0.326169,0.000282179,2274.08,-6235.54,-373.273
21,CALL,527.85,0.542935,0.000339349,2356.81,-8509.04,526.886
21,PUT,422.349,-0.457049,0.000335544,2356.85,-6959.5,-470.178
22,CALL,546.855,0.571315,0.000352204,2218.01,-8840.71,500.378
22,PUT,364.018,-0.42867,0.00034577,2218.19,-7299.6,-397.531
23,CALL,575.329,0.607965,0.000365003,2053.55,-9137.01,474.786
23,PUT,301.733,-0.392135,0.000358856,2053.44,-7613.95,-323.419
24,CALL,368.078,0.483838,0.000402215,1972.65,-9652.44,328.03
24,PUT,423.386,-0.516066,0.00040366,1972.68,-8168.24,-369.586
25,CALL,284.105,0.429773,0.000426212,1792.09,-9951.57,249.969
25,PUT,459.624,-0.570276,0.000427159,1792.35,-8500.42,-348.996
26,CALL,607.836,0.70721,0.000402197,1461.05,-9831.97,346.899
26,PUT,158.966,-0.292641,0.000403956,1460.79,-8394.06,-150.595
27,CALL,625.536,0.75553,0.000411252,1195.64,-9548.66,298.413
27,PUT,112.04,-0.244473,0.000409535,1196.32,-8169.46,-100.725
28,CALL,430.315,0.675562,0.000546589,1179.81,-12034.1,198.52
28,PUT,140.966,-0.324459,0.000547903,1179.52,-10747.5,-99.6048
29,CALL,331.372,0.654708,0.000692562,985.133,-21720.1,128.845
29,PUT,125.06,-0.345186,0.000688201,984.855,-10831.8,-70.6726
30,CALL,508.866,0.903373,0.000443395,327.966,-28862,89.7278
30,PUT,17.6064,-0.0966439,0.000443903,327.976,-3864.23,-9.98421
31,CALL,638.734,0.899062,-0.000687443,0,-0,0
31,PUT,0,0,0,0,-0,0
