Day,Call/Put,OptionPrice,Delta,Gamma,Vega,Theta,Rho
1,CALL,799.401,0.505001,0.000194167,4078.01,-5491.18,1432.4
1,PUT,832.431,-0.495095,0.000195288,4078.57,-3830.34,-1543.82
2,CALL,764.747,0.497163,0.0001989,4005.37,-5549.34,1363.93
2,PUT,839.801,-0.502927,0.000199411,4005.99,-3886.29,-1520.31
3,CALL,857.332,0.537531,0.00019829,3941.71,-5705.19,1432.84
3,PUT,726.604,-0.462128,0.000198165,3942.24,-4039.58,-1352.01
4,CALL,966.557,0.582746,0.000204181,3829,-5814.68,1503.58
4,PUT,615.624,-0.417234,0.000199984,3828.93,-4140.41,-1177.94
5,CALL,960.414,0.58686,0.000199435,3750.47,-5902.35,1459.2
5,PUT,595.744,-0.412921,0.000197804,3750.15,-4222,-1126.51
6,CALL,947.59,0.588212,0.000202811,3675.16,-5994.32,1408.77
6,PUT,580.022,-0.411713,0.000205801,3675.3,-4310.77,-1077.46
7,CALL,977.722,0.605121,0.000206062,3570.81,-6080.43,1391.52
7,PUT,534.984,-0.395066,0.000208871,3571.18,-4390.18,-991.858
8,CALL,867.739,0.572988,0.000219041,3546.27,-6196.51,1262.16
8,PUT,586.298,-0.427043,0.000212776,3546.44,-4514.62,-1024.96
9,CALL,935.552,0.604517,0.000210434,3420.1,-6282.96,1278.24
9,PUT,512.828,-0.395507,0.000214071,3420.07,-4602.05,-910.611
10,CALL,904.646,0.601124,0.000221944,3346.23,-6398.82,1212.81
10,PUT,507.079,-0.398802,0.000219969,3346.71,-4719.41,-875.067
11,CALL,1010.05,0.646284,0.00022238,3162.25,-6425.49,1249.84
11,PUT,418.19,-0.353448,0.000218263,3162.56,-4741.67,-739.627
12,CALL,868.484,0.603685,0.000234338,3179.12,-6648.06,1104.59
12,PUT,477.244,-0.396404,0.0002343,3179.1,-4972.16,-784.976
13,CALL,803.101,0.586492,0.000243667,3120.79,-6801.38,1017.97
13,PUT,493.289,-0.413543,0.000241979,3120.42,-5138.55,-773.737
14,CALL,1010.92,0.674376,0.000219913,2834.16,-6711.26,1110.24
14,PUT,344.459,-0.326096,0.000228732,2834.21,-5041.65,-579.977
15,CALL,849.393,0.62414,0.000247417,2878.18,-7029.23,966.772
15,PUT,405.072,-0.375766,0.00025025,2878.04,-5397.36,-626.294
16,CALL,976.614,0.68277,0.00024424,2631.1,-6948.02,993.665
16,PUT,310.435,-0.316898,0.000242727,2631.67,-5324.45,-496.97
17,CALL,921.872,0.6749,0.000255812,2566.71,-7171.15,919.104
17,PUT,310.09,-0.325051,0.00025116,2566.19,-5551.56,-474.735
18,CALL,971.86,0.706184,0.000248475,2372.44,-7162.87,896.93
18,PUT,261.299,-0.293651,0.000248572,2372.18,-5544.91,-398.773
19,CALL,859.635,0.677403,0.00026914,2366.06,-7563.54,792.2
19,PUT,283.837,-0.322508,0.00027368,2365.72,-5959.9,-401.996
20,CALL,815.555,0.673939,0.000282157,2273.62,-7821.65,724.622
20,PUT,275.278,-0.326166,0.000282157,2274.08,-6235.55,-373.352
21,CALL,527.848,0.542896,0.000339374,2356.83,-8509.05,526.959
21,PUT,422.349,-0.457054,0.000335644,2356.86,-6959.47,-470.215
22,CALL,546.856,0.571309,0.000352266,2218.01,-8840.74,500.354
22,PUT,364.018,-0.428665,0.00034577,2218.18,-7299.67,-397.595
23,CALL,575.33,0.607958,0.000365003,2053.49,-9137.01,474.805
23,PUT,301.733,-0.392131,0.000358812,2053.45,-7613.97,-323.441
24,CALL,368.077,0.483825,0.000402191,1972.64,-9652.42,328.064
24,PUT,423.386,-0.51607,0.000403567,1972.69,-8168.27,-369.543
25,CALL,284.105,0.429781,0.000426262,1792.09,-9951.57,249.945
25,PUT,459.622,-0.570289,0.000427202,1792.36,-8500.41,-349.094
26,CALL,607.836,0.707207,0.000402446,1461,-9831.92,347.101
26,PUT,158.966,-0.292642,0.000403847,1460.8,-8394.05,-150.63
27,CALL,625.536,0.755539,0.000411215,1195.67,-9548.71,298.309
27,PUT,112.04,-0.244475,0.000409577,1196.33,-8169.45,-100.729
28,CALL,430.314,0.675573,0.000546638,1179.83,-12034.1,198.511
28,PUT,140.966,-0.324458,0.000547812,1179.52,-10747.5,-99.6323
29,CALL,331.372,0.654713,0.000692818,985.116,-21720.2,128.882
29,PUT,125.06,-0.34518,0.000688249,984.86,-10831.8,-70.6734
30,CALL,508.866,0.903368,0.00044342,327.929,-28862,89.8132
30,PUT,17.6064,-0.0966449,0.000443908,327.976,-3864.23,-9.98287
31,CALL,638.734,0.899062,-0.000687443,0,-0,0
31,PUT,0,0,0,0,-0,0
