Day,Call/Put,OptionPrice,Delta,Gamma,Vega,Theta,Rho
1,CALL,800.571,0.476689,-0.000316488,4074.53,-5417.55,1287.45
1,PUT,832.58,-0.468165,0.000354541,4127.39,-3947.97,-1381.03
2,CALL,765.57,0.491747,-0.000102961,3980.03,-5433.65,1324.08
2,PUT,838.803,-0.484703,0.000777124,3991.57,-3886.02,-1511.7
3,CALL,857.276,0.53404,0.00032265,3964.25,-5672.76,990.097
3,PUT,725.916,-0.474753,-8.29E-05,3966.72,-3883.2,-1081.92
4,CALL,967.011,0.535021,0.000454528,3845.79,-5778.5,1594.18
4,PUT,616.07,-0.407847,0.000176178,3833.32,-4233.33,-1330.58
5,CALL,961.132,0.589547,0.000619213,3794.38,-5833.68,1661.1
5,PUT,594.46,-0.404861,0.00027295,3728.86,-4298,-1126.14
6,CALL,947.676,0.562549,0.000921613,3702.41,-5894.17,1525.1
6,PUT,579.182,-0.404063,-0.000633339,3673.9,-4342.74,-1122.55
7,CALL,979.287,0.590389,-0.00024996,3582.2,-6137.76,1353.18
7,PUT,534.152,-0.390343,0.000364775,3520.24,-4514.65,-1011.54
8,CALL,868.589,0.544619,0.000725532,3603.4,-6125.11,1331.01
8,PUT,585.152,-0.424513,0.000362526,3544.84,-4517.81,-1218.37
9,CALL,931.631,0.592891,-1.14E-05,3486.55,-6225.37,1283.6
9,PUT,513.475,-0.390115,0.000144882,3408.7,-4611.73,-1010.96
10,CALL,904.32,0.664936,8.61E-05,3478.98,-6328.83,1501.16
10,PUT,506.825,-0.423692,0.000449958,3277.37,-4672.39,-1105.33
11,CALL,1009.03,0.637476,0.000775619,3165.89,-6488.53,1179.22
11,PUT,418.174,-0.373164,0.000484149,3173.53,-4730.43,-620.516
12,CALL,867.379,0.608072,-4.76E-05,3127.21,-6644.66,896.35
12,PUT,478.758,-0.429432,-0.000156327,3190.47,-4936.3,-780.929
13,CALL,804.581,0.570799,0.000111366,3155.72,-6764.26,957.757
13,PUT,493.734,-0.415379,0.000334625,3108.98,-5095.72,-647.413
14,CALL,1012.93,0.652184,-0.000140252,2817.79,-6839.55,818.713
14,PUT,343.872,-0.323407,0.00011831,2839.71,-4998.61,-497.005
15,CALL,850.111,0.694328,-6.96E-05,2894.6,-7091.55,974.332
15,PUT,405.064,-0.407435,0.000486635,2894.7,-5429.31,-699.44
16,CALL,977.543,0.673138,-0.000163227,2597.4,-6869.59,990.19
16,PUT,310.093,-0.314781,0.000119641,2673.37,-5329.55,-622.533
17,CALL,922.034,0.650755,-3.49E-05,2621.78,-7083.31,1051.63
17,PUT,309.39,-0.333284,0.000702781,2555.19,-5549.91,-468.47
18,CALL,972.447,0.702832,0.000617067,2387.32,-7194.83,674.953
18,PUT,260.259,-0.293975,0.000102844,2381.65,-5536.21,-296.593
19,CALL,858.272,0.692188,0.000264213,2359.1,-7434.21,765.465
19,PUT,283.758,-0.327959,0.000157905,2365.48,-5957.8,-354.64
20,CALL,814.32,0.64425,0.000876237,2246.47,-7798.49,668.536
20,PUT,275.584,-0.310739,-0.000216329,2261.43,-6273.56,-392.161
21,CALL,527.4,0.545484,0.000494602,2362.81,-8461.6,281.956
21,PUT,423.061,-0.442684,0.000427862,2374.38,-6982.46,-398.319
22,CALL,546.486,0.583712,1.93E-05,2202.78,-8838.76,470.511
22,PUT,364.303,-0.42555,0.000742998,2201.94,-7286.17,-355.516
23,CALL,574.717,0.613368,0.000644461,2092.66,-9081.89,560.378
23,PUT,301.53,-0.396907,0.000354607,2017.94,-7629.42,-366.201
24,CALL,368.32,0.490682,0.000537214,1977.22,-9669.64,291.125
24,PUT,423.753,-0.527355,5.10E-05,1970.27,-8148.91,-441.554
25,CALL,283.425,0.436709,0.000425274,1777.48,-9935.58,302.915
25,PUT,460.033,-0.564662,0.00064376,1774.36,-8469.5,-338.399
26,CALL,608.336,0.703658,0.000449377,1480.16,-9848.19,448.393
26,PUT,158.953,-0.286268,0.000471862,1465.38,-8377.31,-150.908
27,CALL,625.679,0.774325,0.000580988,1163.76,-9586.43,307.497
27,PUT,112.144,-0.242373,0.000330849,1220.26,-8178.27,-104.54
28,CALL,430.033,0.671923,0.000676561,1157.16,-12044.9,218.81
28,PUT,141.316,-0.318214,0.000546089,1187.95,-10778.5,-85.9979
29,CALL,331.734,0.64619,0.000957187,993.148,1.0,86.9184
29,PUT,125.267,-0.345852,0.000574713,970.49,1.0,-34.9424
30,CALL,509.138,0.910718,0.000457424,317.465,1.0,103.82
30,PUT,17.5903,-0.0997518,0.000438505,324.551,1.0,-9.29022
31,CALL,635.23,1,-5.03E-14,0,0,0
31,PUT,0,0,0,0,0,0
