Day,Call/Put,OptionPrice,Delta,Gamma,Vega,Theta,Rho
1,CALL,792.381,0.536075,0.00127208,4180.19,-5714.36,1476
1,PUT,833.903,-0.407051,-0.0012114,4041.56,-3743.72,-2020.44
2,CALL,766.332,0.505011,-0.000930163,3942.87,-5341.46,1501.15
2,PUT,841.092,-0.511974,0.00101878,4014.31,-3706.74,-1934.66
3,CALL,858.826,0.598723,0.000236953,3818.38,-5821.26,2161.71
3,PUT,727.462,-0.406836,0.000852434,4054.15,-3972.36,-1483.45
4,CALL,963.005,0.695796,0.000784634,3791.72,-5557.28,1550.13
4,PUT,614.885,-0.423366,-3.91677e-005,3952.34,-4027.21,-1435.32
5,CALL,956.282,0.65105,0.000498964,3612.64,-5677.48,1513.67
5,PUT,597.672,-0.419742,0.000234946,3641.33,-4192.56,-1004.98
6,CALL,942.722,0.444954,0.00235003,3808.1,-6108.47,1202.01
6,PUT,586.178,-0.34925,-0.000477918,3723.32,-4636.56,-964.737
7,CALL,977.335,0.62751,0.0012561,3774.19,-5981.11,1160.45
7,PUT,532.691,-0.452281,6.26569e-005,3555.75,-4643.62,-968.898
8,CALL,865.785,0.540484,-0.000260939,3637.46,-5815.84,1764.4
8,PUT,589.124,-0.507165,0.000887415,3562.48,-4302.13,-1163.16
9,CALL,932.756,0.403229,0.00139985,3308.62,-6390.49,1075.52
9,PUT,511.7,-0.325493,7.13464e-005,3438.21,-4392.37,-250.87
10,CALL,905.154,0.485647,0.00026023,3418.36,-6565.78,2177.75
10,PUT,501.464,-0.367657,0.00067752,3337.17,-4536.07,-1025.69
11,CALL,1009.96,0.611087,0.000607523,3243.37,-6229.94,1873.78
11,PUT,423.523,-0.344802,8.26301e-005,3180.4,-4886.91,-420.021
12,CALL,870.643,0.644903,0.00226576,3084.38,-6519.58,1208.73
12,PUT,477.055,-0.418272,-0.00101661,3252.44,-5114.38,-667.809
13,CALL,802.109,0.534336,0.000612575,3151.01,-6970.87,1103.49
13,PUT,492.479,-0.383665,-0.000214704,3038.42,-5255.13,-661.944
14,CALL,1011.31,0.663513,0.000698989,2974.24,-6868.87,810.588
14,PUT,340.471,-0.385482,0.00061635,2798.17,-4798.01,-764.305
15,CALL,843.785,0.665462,-0.000348703,2740.06,-7079.2,1366.31
15,PUT,408.828,-0.438656,0.000373823,2918.21,-5498.75,-998.655
16,CALL,977.137,0.690361,0.00142062,2503.74,-7179.87,1159.07
16,PUT,310.831,-0.38728,-0.000931028,2725.17,-5378.05,-432.668
17,CALL,924.338,0.732548,0.000367474,2397.89,-7307.21,657.359
17,PUT,311.303,-0.384854,-0.00070049,2618.96,-5599.36,-362.869
18,CALL,970.984,0.794734,0.000664744,2384.63,-7116.35,819.27
18,PUT,262.475,-0.234811,-8.86506e-005,2425.25,-5551.17,-489.672
19,CALL,863.447,0.622166,0.000623326,2412.45,-7718.44,1475.62
19,PUT,280.294,-0.322582,0.000444901,2297.93,-5886.74,-375.799
20,CALL,814.964,0.550208,0.00106787,2263.16,-7852.63,336.146
20,PUT,272.197,-0.302068,-0.000169758,2245.51,-6269.92,-337.013
21,CALL,530.942,0.538735,0.000347674,2215.07,-8583.68,549.321
21,PUT,421.535,-0.492561,7.73062e-005,2312.07,-6964.89,-502.678
22,CALL,547.261,0.578589,0.000701723,2209.24,-8696.42,655.192
22,PUT,365.744,-0.435885,-0.000406464,2207.13,-7477.15,-400.981
23,CALL,575.997,0.590317,0.000399462,2065.24,-9102.86,305.72
23,PUT,300.801,-0.404063,-0.000172553,2112.37,-7609.22,-400.281
24,CALL,367.537,0.529488,-0.00034036,1915.83,-9856.66,184.723
24,PUT,428.424,-0.543265,0.00141974,1999.94,-8178.54,-770.994
25,CALL,283.131,0.423002,0.000463553,1806.52,-10132.1,-0.839233
25,PUT,462.239,-0.523193,-7.63365e-006,1786.12,-8649.1,-95.2581
26,CALL,609.396,0.709983,0.00220269,1434.07,-9825.3,340.469
26,PUT,158.404,-0.309411,-0.000347574,1449.02,-8462.6,-49.2147
27,CALL,627.719,0.789997,0.000787731,1277.17,-9406.97,100.922
27,PUT,112.059,-0.273459,0.000425288,1163.01,-8113.48,2.33841
28,CALL,430.663,0.6531,0.00108073,1180.34,1.0,117.602
28,PUT,141.951,-0.303564,-1.64782e-005,1170.59,1.0,94.5142
29,CALL,333.38,0.659277,0.000359537,993.294,1.0,76.088
29,PUT,124.643,-0.362251,0.000332453,993.828,1.0,-181.218
30,CALL,507.842,0.885949,0.000316771,379.459,1.0,-150.792
30,PUT,17.9107,-0.101854,0.000414522,311.813,1.0,7.67628
31,CALL,635.752,0.999122,-1.26305e-006,0,-0,0
31,PUT,0,0,0,0,-0,0
