Day,Call/Put,OptionPrice,Delta,Gamma,Vega,Theta,Rho
1,CALL,803.203,0.477323,0.000106972,3954.89,-5732.18,1300.7
1,PUT,827.053,-0.377156,0.000363106,4010.92,-3787.15,-1463.92
2,CALL,760.507,0.398944,0.000447886,3923.68,-5497.71,1760.15
2,PUT,836.8,-0.449993,-8.33978e-005,4038.83,-4056.57,-1556.05
3,CALL,855.803,0.480055,0.00105652,3835.06,-5815.67,831.329
3,PUT,724.008,-0.469196,-0.00104092,4009.89,-4184.99,-1295.64
4,CALL,969.653,0.599902,1.94583e-005,3762.66,-6101.14,1276.94
4,PUT,613.231,-0.407654,-2.51603e-005,3857.45,-4000.22,-903.332
5,CALL,968.208,0.681918,-1.18821e-005,3637.22,-5535.4,1489.22
5,PUT,595.803,-0.449685,0.000991622,3786.74,-4379.83,-1218.92
6,CALL,943.508,0.625065,0.000218425,3762,-5762.23,1521.85
6,PUT,581.104,-0.431117,0.000309526,3588.83,-4315.56,-1662.6
7,CALL,980.654,0.55017,0.000704688,3499.55,-5869.16,1289.31
7,PUT,533.615,-0.406402,-0.000523107,3596.44,-4361.95,-1032.79
8,CALL,869.334,0.5178,0.000398077,3545.67,-6208.24,912.922
8,PUT,582.961,-0.442169,0.000169958,3627.57,-4413.4,-753.284
9,CALL,930.484,0.672499,-0.000180492,3372.92,-6277.69,1488.24
9,PUT,512.618,-0.424973,-0.000174715,3328.1,-4789.62,-1077.79
10,CALL,901.039,0.639481,-0.000540178,3392.63,-6398.34,798.416
10,PUT,514.732,-0.433483,0.000495848,3230.46,-4603.1,-445.412
11,CALL,1006.63,0.700087,-0.000117516,3060.73,-6497.69,1309.69
11,PUT,417.666,-0.327843,-0.000202807,3139.28,-4663.85,-504.024
12,CALL,870.146,0.538768,0.000340622,3095.99,-6652.13,1399.46
12,PUT,474.638,-0.357538,-0.000155938,3206.28,-5012.05,-1086.39
13,CALL,807.044,0.549188,-0.000155366,3080.91,-6521.34,585.255
13,PUT,488.849,-0.382301,0.000418091,3091.35,-5387.3,-618.517
14,CALL,1016.54,0.628972,-2.54012e-006,2771.03,-6803.2,994.682
14,PUT,341.987,-0.364874,-0.000205519,2787.03,-5088.86,-471.834
15,CALL,849.388,0.637981,-0.000188657,2895.3,-7182.51,693.226
15,PUT,403.931,-0.351294,0.000486566,2855.23,-5315.49,-150.688
16,CALL,972.198,0.66054,0.0010002,2775.18,-6839.6,762.691
16,PUT,313.113,-0.295294,0.000150474,2589.19,-5316.09,-402.985
17,CALL,919.75,0.607271,0.00110607,2534.52,-6911.09,1129.54
17,PUT,309.388,-0.316472,-0.000383579,2577.55,-5723.15,-572.803
18,CALL,965.593,0.637677,0.00116121,2523.6,-7149.68,750.065
18,PUT,259.575,-0.277526,-0.000108432,2300.37,-5602.43,-367.041
19,CALL,860.549,0.648429,0.000705787,2410.78,-7643.19,1450.19
19,PUT,283.061,-0.322842,0.000155721,2318.72,-6038.09,-514.982
20,CALL,816.65,0.692129,0.000377494,2182.02,-7982.54,1175.07
20,PUT,272.464,-0.325029,0.000102324,2311.93,-6391.73,-203.176
21,CALL,530.363,0.537115,-0.000354207,2369.12,-8712.04,934.91
21,PUT,417.544,-0.475002,0.000479462,2328.56,-7136.93,-676.334
22,CALL,548.539,0.579635,0.0004216,2211.94,-9079.59,722.103
22,PUT,365.127,-0.452294,0.000125442,2247.49,-7534.65,-611.822
23,CALL,573.37,0.637211,0.000498117,2103.68,-9474.2,350.166
23,PUT,304.201,-0.370741,0.000100927,2059.22,-7889.74,-297.689
24,CALL,365.429,0.505267,0.00069029,1915.32,-9946.55,406.87
24,PUT,427.883,-0.519248,0.000225427,1933.38,-8718.57,-325.626
25,CALL,286.186,0.416801,0.000748744,1819.4,-10636.6,375.389
25,PUT,459.209,-0.549751,0.000272946,1831.49,-9364.22,-421.925
26,CALL,606.574,0.684436,0.000782509,1477.34,-9831.89,222.488
26,PUT,159.614,-0.283329,0.000338827,1453.12,-8458.9,-47.7982
27,CALL,628.185,0.762842,0.000220688,1154.79,1.#QNAN,65.403
27,PUT,112.475,-0.253412,0.000434878,1182.82,1.#QNAN,-101.471
28,CALL,431.643,0.626976,0.000956912,1195.88,1.#QNAN,228.937
28,PUT,140.504,-0.31132,0.000551667,1160.39,1.#QNAN,-110.251
29,CALL,329.836,0.631445,0.000675824,965.353,1.#QNAN,133.194
29,PUT,124.786,-0.336011,0.000533838,1016.22,1.#QNAN,-37.3735
30,CALL,510.145,0.933828,0.000308535,337.898,1.#QNAN,-66.9498
30,PUT,17.655,-0.097506,0.000437118,325.939,1.#QNAN,4.77874
31,CALL,635.752,0.999326,-3.39672e-005,0,-0,0
31,PUT,0,0,0,0,-0,0
