Day,Call/Put,OptionPrice,Delta,Gamma,Vega,Theta,Rho
1,CALL,793.833,0.635988,0.000962454,4109.58,-5260.26,1677.69
1,PUT,833.017,-0.590599,0.0010062,4076.59,-3974.95,-2456.33
2,CALL,774.082,0.423643,0.000715879,3932.2,-5523.57,1488.04
2,PUT,831.712,-0.479717,-0.000431937,3907.42,-3673.49,-1414.35
3,CALL,853.32,0.588566,0.000781858,3813.17,-5615.94,1010.16
3,PUT,729.141,-0.504965,-0.000926636,4103.94,-4132.23,-1526.15
4,CALL,968.945,0.413877,0.00230732,3974.03,-6019.6,1507.38
4,PUT,616.464,-0.370369,-0.000124797,3670.56,-3917.17,-1660.1
5,CALL,959.537,0.554889,-0.000297245,3816.34,-6173.84,1113.83
5,PUT,592.583,-0.427321,0.000751837,3699.61,-4010.49,-648.891
6,CALL,947.81,0.52529,0.000717925,3514.83,-6170.31,1463.93
6,PUT,577.735,-0.475924,-0.000878165,3662.9,-4264.48,-595.764
7,CALL,975.986,0.63475,0.00146836,3417.88,-6423.37,972.159
7,PUT,538.162,-0.439002,0.000728174,3633.17,-4324.96,-137.791
8,CALL,874.43,0.496845,-0.00079298,3387.17,-5920.8,461.722
8,PUT,585.281,-0.412803,0.00228215,3632.1,-4650.46,-1064.52
9,CALL,937.408,0.622267,-0.000398972,3259.54,-6415.24,1856.81
9,PUT,514.086,-0.402262,-0.000400227,3411.06,-4784.93,-631.771
10,CALL,907.327,0.710747,-0.0006476,3216.01,-6550.42,1353.9
10,PUT,503.988,-0.507116,0.000746299,3370.87,-4761.89,-1003.99
11,CALL,1006.54,0.636643,0.00159908,3338.72,-6251.98,1683.47
11,PUT,416.94,-0.360793,0.000173503,3100.05,-4928.39,-682.831
12,CALL,865.414,0.620204,0.000328982,3311.92,-6917.48,1126.29
12,PUT,478.303,-0.37975,-5.35329e-005,3162,-5028.9,-1029.96
13,CALL,804.753,0.624085,0.0011529,3061.54,-6777.62,1101.79
13,PUT,495.563,-0.413852,-0.000758138,3164.35,-5140.37,-721.222
14,CALL,1009.72,0.690996,-0.00143468,2904.77,-6393.11,1232.97
14,PUT,344.853,-0.34847,0.000518983,2767.44,-5204.27,-626.282
15,CALL,848.022,0.620733,5.5748e-005,2940.69,-7218.33,1136.54
15,PUT,405.14,-0.372871,3.49758e-005,2880.73,-5378.28,-624.169
16,CALL,975.801,0.760677,0.00102926,2557,-6975.66,1084.08
16,PUT,314.638,-0.356271,0.000533991,2555.19,-5269.77,-847.098
17,CALL,925.746,0.67386,0.00151647,2531.03,-7419.32,597.944
17,PUT,312.344,-0.303158,-0.000258732,2560.35,-5702.36,-341.636
18,CALL,974.141,0.700684,0.000126583,2525.52,-6879.73,902.849
18,PUT,262.806,-0.264487,0.000162899,2298.05,-5587.98,-156.176
19,CALL,857.858,0.720797,7.87408e-005,2269.78,-7742.17,486.01
19,PUT,284.311,-0.343255,0.000433141,2365.35,-5984.22,-314.484
20,CALL,817.703,0.705069,-0.00171605,2215.33,-7826.8,805.001
20,PUT,273.713,-0.307509,0.000445162,2341.47,-6384.51,-474.108
21,CALL,525.536,0.608722,-0.000192727,2371.66,-8476.15,704.716
21,PUT,423.868,-0.472617,0.000760315,2315.5,-7158.38,-643.289
22,CALL,549.79,0.561674,0.000607346,2182.6,-9050.41,663.095
22,PUT,364.305,-0.418828,-2.12898e-005,2181.41,-7311.52,-728.616
23,CALL,578.035,0.634655,0.000885817,2013.37,-9254.49,454.202
23,PUT,299.996,-0.38645,0.000318312,2046.54,-7832.54,-320.701
24,CALL,368.267,0.442725,0.000466156,2012.48,-9817.85,54.9905
24,PUT,421.816,-0.492989,0.00115042,1964.44,-8510.56,-350.2
25,CALL,284.009,0.421593,0.000199198,1808.66,-10373,316.683
25,PUT,460.653,-0.55609,0.000583488,1794.3,-8789.15,-634.955
26,CALL,608.066,0.772615,0.000172696,1404.63,-10072.5,345.25
26,PUT,157.903,-0.310353,0.000494516,1457.59,-8539.35,-201.831
27,CALL,625.731,0.698325,0.000302666,1178.32,-8739.03,108.01
27,PUT,113.164,-0.232373,0.000625182,1176.47,-7564.48,-57.2101
28,CALL,429.027,0.657671,0.000441879,1184.53,1.#QNAN,490.893
28,PUT,139.532,-0.333426,0.000578319,1162.46,1.#QNAN,-216.431
29,CALL,332.646,0.643036,0.000579161,959.649,1.#QNAN,148.073
29,PUT,124.544,-0.332931,0.000798829,971.122,1.#QNAN,38.9955
30,CALL,510.833,0.88161,0.000733179,355.083,1.#QNAN,15.3503
30,PUT,17.5779,-0.0987778,0.000393682,331.302,1.#QNAN,-25.4222
31,CALL,635.752,0.992022,-0.000157443,0,-0,0
31,PUT,0,0,0,0,-0,0
