Day,Call/Put,OptionPrice,Delta,Gamma,Vega,Theta,Rho
1,CALL,800.302,0.599232,3.16272e-005,4188.56,-5901.97,851.395
1,PUT,821.76,-0.701916,-0.000399356,3993.61,-4134.75,-1877.36
2,CALL,767.935,0.621616,-0.00148217,4122.06,-5692.43,290.092
2,PUT,839.001,-0.559687,-0.00228327,3783.89,-3842.66,-1080.1
3,CALL,861.695,0.544026,-0.0016134,4108.76,-5627.99,1895.38
3,PUT,723.231,-0.475266,0.000165044,4017.6,-3727.73,-826.477
4,CALL,966.364,0.655138,0.00117787,3716.59,-6231.21,1066.43
4,PUT,613.669,-0.346037,-0.000600153,3705.3,-3864.35,-260.345
5,CALL,967.419,0.715323,-0.00354313,3698.25,-5607.14,2422.36
5,PUT,595.773,-0.51698,0.00393998,3658.46,-4209.97,-1295.62
6,CALL,943.073,0.59343,-0.00478641,3532.74,-5434.04,695.48
6,PUT,581.123,-0.373313,0.00253477,3718.49,-4613.48,-940.391
7,CALL,979.564,0.609238,-0.00272893,3708.89,-5407.89,555.397
7,PUT,537.731,-0.380616,0.00205552,3460.47,-4825.1,-483.04
8,CALL,870.57,0.542528,-0.0040232,3428.89,-5856.96,1028.69
8,PUT,590.068,-0.46777,0.00314302,3792.42,-4790.07,-706.253
9,CALL,932.393,0.645799,-0.00265624,3719.32,-6022.8,1402.05
9,PUT,512.775,-0.421979,0.00180668,3245.53,-4393.83,-531.204
10,CALL,898.525,0.676192,-0.00205813,3480.49,-5950.01,828.026
10,PUT,511.366,-0.331806,0.00324793,3339.45,-4854.09,-214.325
11,CALL,1009.05,0.771968,0.00191383,3165.93,-6738,713.837
11,PUT,418.515,-0.386821,-0.000318119,3087.48,-4678.48,-1119.9
12,CALL,871.092,0.500302,-0.00178691,3143.62,-6650.56,930.313
12,PUT,476.318,-0.372749,-4.14364e-005,3061.81,-4883.83,-524.822
13,CALL,804.819,0.531156,-0.00112919,3040.52,-6830.71,1628.65
13,PUT,492.135,-0.349931,-0.00028547,3244.34,-4573.76,-667.465
14,CALL,1006.96,0.750832,-0.00549421,2619.35,-6641.72,633.629
14,PUT,347.778,-0.313201,0.00175302,3027.96,-5174.02,-1427.55
15,CALL,849.62,0.641763,-7.13116e-005,2636.13,-7125.72,677.33
15,PUT,402.564,-0.410541,0.000687356,2919.85,-5250.64,-769.955
16,CALL,979.019,0.681579,-0.000880592,2627.54,-7100.85,1374.24
16,PUT,306.863,-0.34658,0.000398684,2514.91,-5161.18,-264.278
17,CALL,914.705,0.67258,-0.00390244,2634.26,-7223.06,-48.2178
17,PUT,310.431,-0.303863,0.000663047,2610.23,-5581.95,408.97
18,CALL,969.959,0.752122,0.00327285,2356.76,-7192.37,168.793
18,PUT,261.1,-0.360501,-0.00122597,2375.49,-5636.16,-569.382
19,CALL,857.206,0.628454,0.000741822,2268.48,-7265,991.966
19,PUT,285.563,-0.308648,0.00204861,2309.61,-5913.74,-779.85
20,CALL,818.343,0.602754,0.000340559,2334.31,-7907.93,1119.88
20,PUT,276.266,-0.287107,0.000687005,2362.62,-5950.29,-289.276
21,CALL,520.016,0.504897,-0.000579299,2383.55,-8704.33,859.154
21,PUT,427.484,-0.47522,0.000108592,2325.38,-6862.42,-719.265
22,CALL,546.526,0.540482,-0.000657392,2101.88,-8666.92,792.999
22,PUT,363.701,-0.388933,0.000967785,2271.96,-7355.75,-703.957
23,CALL,576.491,0.641874,0.00251422,2036.17,-8841.83,-143.089
23,PUT,301.049,-0.367604,-0.000203113,2042.52,-7559.62,-185.749
24,CALL,369.698,0.489753,-7.43866e-005,1883.1,-9473.27,50.1289
24,PUT,423.56,-0.452292,0.00204018,1920.86,-8011.66,-564.014
25,CALL,285.278,0.485464,0.00131914,1732.24,-9466.18,711.834
25,PUT,456.957,-0.536225,0.000185781,1847.25,-8727.96,-1209.45
26,CALL,608.106,0.773829,0.000393653,1377.19,-9673.14,61.7065
26,PUT,158.123,-0.317811,0.000587079,1451.84,-8264.35,431.786
27,CALL,624.683,0.795571,0.00109318,1141.66,-9587.55,124.054
27,PUT,112.482,-0.239608,0.000953728,1172.06,-8260.25,-61.7037
28,CALL,429.217,0.668284,0.00166494,1217.36,-11791.6,-270.401
28,PUT,140.957,-0.294044,0.000268882,1146.94,-10469.8,21.7285
29,CALL,332.136,0.587655,0.00139934,991.021,-13464.3,160.114
29,PUT,125.273,-0.293243,0.000731617,963.583,-12388.3,30.9381
30,CALL,507.583,0.898301,-0.000907713,328.967,1.0,253.895
30,PUT,17.6537,-0.0945191,0.000506509,330.445,1.0,-19.4747
31,CALL,635.752,1.00039,-3.93731e-005,0,-0,0
31,PUT,0,0,0,0,-0,0
