Day,Call/Put,OptionPrice,Delta,Gamma,Vega,Theta,Rho
1,CALL,803.567,0.480027,0.000848268,4093.25,-5816.08,1763.27
1,PUT,827.485,-0.4775,-0.000184739,4083.99,-3600.96,-1540.55
2,CALL,767.727,0.477105,0.000930886,3901.66,-5860.76,1432.44
2,PUT,840.942,-0.486293,0.000375095,4052.39,-3565.82,-1644.29
3,CALL,854.242,0.536527,0.000585958,3897.32,-5607.87,1766.62
3,PUT,723.432,-0.505667,-0.000277814,3915.06,-4132.14,-1999.73
4,CALL,969.895,0.626998,0.000486916,3956.11,-5863.51,1243.58
4,PUT,616.263,-0.398524,-0.000107969,3885.13,-4233.79,-1368.09
5,CALL,953.167,0.578088,0.000696529,3745.42,-6003.55,1288.75
5,PUT,596.738,-0.421523,0.000259872,3786.67,-4126.45,-896.512
6,CALL,946.891,0.622918,-0.000183555,3679.35,-6051.1,1232.65
6,PUT,584.525,-0.380171,0.000919929,3691.42,-4162.42,-1214.82
7,CALL,979.002,0.610015,0.000765838,3621.01,-6021.44,977.76
7,PUT,533.808,-0.410617,-0.000155004,3590.67,-4462.42,-600.237
8,CALL,872.924,0.571553,-6.97081e-005,3573.89,-6399.88,1580.48
8,PUT,587.445,-0.38018,0.000383969,3525.79,-4478.16,-1704.73
9,CALL,928.57,0.591785,-0.000225583,3344.46,-6232.72,1147.77
9,PUT,518.781,-0.378007,0.000687859,3453,-4691.74,-1128.82
10,CALL,907.342,0.655742,0.000938149,3432.41,-6424.08,1666.04
10,PUT,507.864,-0.423387,-0.000310018,3273.73,-4788.23,-1335.54
11,CALL,1006.51,0.648765,-0.000175728,3090.02,-6485.66,1405.61
11,PUT,417.893,-0.392765,0.000466956,3178.39,-4720.07,-866.818
12,CALL,867.091,0.62297,3.37083e-005,3193.05,-6518.13,359.175
12,PUT,477.756,-0.375887,7.88562e-005,3159.07,-5070.93,-546.804
13,CALL,803.165,0.632349,0.000306829,3198.7,-6619.54,1170.27
13,PUT,489.561,-0.46084,0.00011709,3123.9,-5132.03,-737.798
14,CALL,1005.63,0.613256,3.73683e-005,2935.93,-6725.86,1058.06
14,PUT,342.78,-0.332853,8.93036e-005,2825.25,-5182.83,-569.443
15,CALL,850.767,0.653889,0.00017316,2914.82,-7096.72,858.846
15,PUT,402.121,-0.37817,0.000499838,2913.56,-5517.66,-430.478
16,CALL,976.413,0.650042,0.000199925,2557.03,-6814.59,819.336
16,PUT,311.668,-0.298471,-0.000173604,2669.16,-5440.88,-672.509
17,CALL,922.374,0.681256,-0.000364908,2591.47,-7221.01,437.229
17,PUT,307.822,-0.318939,0.00081642,2525.98,-5639.25,-314.045
18,CALL,968.853,0.664394,0.000594205,2366.83,-7256.94,950.972
18,PUT,263.76,-0.288759,0.000220042,2387.48,-5586.48,-488.902
19,CALL,861.48,0.695932,0.000486855,2311.96,-7690.41,679.762
19,PUT,283.538,-0.312274,0.000103121,2327.25,-6005.22,-420.512
20,CALL,812.968,0.622291,0.00026592,2254.76,-8042.47,520.328
20,PUT,276.722,-0.280649,0.00037648,2257.29,-6263.18,-390.988
21,CALL,531.868,0.539107,0.000286726,2327.44,-8746.09,558.078
21,PUT,418.855,-0.460487,0.000882199,2374.79,-7320.06,-409.617
22,CALL,548.353,0.604035,0.000695603,2196.74,-9102.24,291.65
22,PUT,361.541,-0.428653,0.000299165,2309.33,-7633.22,-307.259
23,CALL,574.894,0.653542,0.000366324,2103.63,-9554.33,775.916
23,PUT,300.53,-0.414395,0.000314484,2071.25,-8006.35,-392.183
24,CALL,370.588,0.46604,0.000453712,2018.82,-10537.7,320.229
24,PUT,422.701,-0.489797,0.000498137,1912.06,-8872.89,-293.335
25,CALL,282.846,0.407586,0.000776838,1810.46,-11034,359.98
25,PUT,461.471,-0.560183,-3.91792e-005,1801.39,-9527.72,-591.868
26,CALL,606.252,0.713338,0.000516116,1437.54,1.0,200.219
26,PUT,158.375,-0.300554,0.000514243,1472.56,1.0,-40.6384
27,CALL,626.539,0.738726,8.0638e-005,1217.41,1.0,197.778
27,PUT,112.153,-0.237571,0.000638823,1196.56,1.0,-122.413
28,CALL,429.167,0.688633,0.000600452,1229.01,1.0,204.386
28,PUT,139.867,-0.331825,0.000488936,1157.07,1.0,-118.145
29,CALL,331.06,0.64924,0.000535009,1027.6,1.0,37.1348
29,PUT,125.817,-0.346352,0.000708114,972.131,1.0,45.9468
30,CALL,509.85,0.917686,0.00030122,304.478,1.0,30.17
30,PUT,17.3937,-0.0956651,0.00041189,318.556,1.0,7.52417
31,CALL,635.752,1.00695,-0.000114767,0,-0,0
31,PUT,0,0,0,0,-0,0
